Building Name,Typology Group,Typology,Sub-Type Group,SubType,GFA,Avg_Daily_Occupants,Audit 1,Audit 2,Audit 3,Audit 4,Audit 5,Total_Waste,Audit_Avg,Waste Production Category
B1441F,1,Commercial,3,Retail Non-Food,8819,874,10,185,410,133,113,851,170,Lowest Waste Production (<500KG)
B1386A,1,Commercial,1,Retail Mixed,21378,3105,1294,1549,1979,539,694,6055,1211,Moderate Waste Production (1000-1500KG)
B1560H,2,Residential,4,Landed Property,2640,8,14,11,12,12,11,60,12,Lowest Waste Production (<500KG)
B1095A,3,Educational,8,Student residences,10581,9568,1109,1123,1010,1000,1158,5400,1080,Moderate Waste Production (1000-1500KG)
B1245U,6,Storage,15,Garage,124498,461,987,866,1027,1161,898,4939,988,Low Waste Production (500-1000KG)
B1335K,2,Residential,4,Landed Property,2421,6,10,15,10,13,13,61,12,Lowest Waste Production (<500KG)
B1704G,4,Institutional,10,Police Station,9356,136,852,726,948,796,1129,4451,890,Low Waste Production (500-1000KG)
B1286D,1,Commercial,3,Retail Non-Food,11612,1057,360,344,304,364,112,1484,297,Lowest Waste Production (<500KG)
B1704A,4,Institutional,10,Police Station,8957,147,916,851,1182,1194,1178,5321,1064,Moderate Waste Production (1000-1500KG)
B1877T,3,Educational,6,University,27269,23468,759,480,787,667,588,3281,656,Low Waste Production (500-1000KG)
B1795Z,3,Educational,8,Student residences,11784,9339,1142,1132,1021,1182,1019,5496,1099,Moderate Waste Production (1000-1500KG)
B1201B,6,Storage,14,Warehouse,166354,496,1062,1153,1246,1189,862,5512,1102,Moderate Waste Production (1000-1500KG)
B1906P,5,Industrial,13,Data Center,98128,343,515,263,234,570,245,1827,365,Lowest Waste Production (<500KG)
B1967U,4,Institutional,11,Fire Station,10872,124,351,272,234,204,241,1302,260,Lowest Waste Production (<500KG)
B1327L,6,Storage,15,Garage,127459,361,877,980,1238,838,767,4700,940,Low Waste Production (500-1000KG)
B1455O,4,Institutional,10,Police Station,8480,163,1126,1021,970,996,1148,5261,1052,Moderate Waste Production (1000-1500KG)
B1439U,3,Educational,8,Student residences,11727,7687,1020,1083,1156,1071,1081,5411,1082,Moderate Waste Production (1000-1500KG)
B1283B,4,Institutional,9,Airport,104095,20457,5364,4794,3698,5940,4977,24773,4955,Highest Waste Production (>3500KG)
B1624Q,1,Commercial,3,Retail Non-Food,11897,1266,302,400,78,450,294,1524,305,Lowest Waste Production (<500KG)
B1481Y,1,Commercial,1,Retail Mixed,16759,2345,1623,1667,1211,2082,1073,7656,1531,Moderately High Waste Production (1500-2000KG)
B1653Q,5,Industrial,12,Manufacturing,19613,540,1034,1230,1076,1287,1163,5790,1158,Moderate Waste Production (1000-1500KG)
B1150S,3,Educational,6,University,34860,23935,975,483,507,993,522,3480,696,Low Waste Production (500-1000KG)
B1295K,1,Commercial,3,Retail Non-Food,11591,1007,365,66,287,208,348,1274,255,Lowest Waste Production (<500KG)
B1183Z,4,Institutional,11,Fire Station,9260,195,324,268,258,390,363,1603,321,Lowest Waste Production (<500KG)
B1033F,5,Industrial,12,Manufacturing,19790,520,1280,1234,1192,1263,1126,6095,1219,Moderate Waste Production (1000-1500KG)
B1210A,1,Commercial,2,Office,9967,710,28,35,1,5,34,103,21,Lowest Waste Production (<500KG)
B1064D,5,Industrial,12,Manufacturing,18119,289,1118,1167,1014,1221,1154,5674,1135,Moderate Waste Production (1000-1500KG)
B1544G,6,Storage,15,Garage,124803,386,857,844,826,1296,751,4574,915,Low Waste Production (500-1000KG)
B1300X,3,Educational,6,University,30292,27087,733,540,786,812,982,3853,771,Low Waste Production (500-1000KG)
B1400M,3,Educational,6,University,25111,26776,620,403,461,718,730,2932,586,Low Waste Production (500-1000KG)
B1966F,3,Educational,7,Nurseries,6301,136,747,537,714,957,557,3512,702,Low Waste Production (500-1000KG)
B1835Z,6,Storage,14,Warehouse,161479,530,1347,708,1052,628,859,4594,919,Low Waste Production (500-1000KG)
B1665B,2,Residential,5,Apartment,1321,6,8,8,7,10,7,40,8,Lowest Waste Production (<500KG)
B1433F,4,Institutional,11,Fire Station,9043,214,306,367,330,262,387,1652,330,Lowest Waste Production (<500KG)
B1290X,6,Storage,15,Garage,125311,288,769,1106,807,1155,1160,4997,999,Low Waste Production (500-1000KG)
B1516Y,3,Educational,7,Nurseries,6129,117,556,796,828,647,519,3346,669,Low Waste Production (500-1000KG)
B1859W,3,Educational,6,University,26235,29104,785,664,950,710,721,3830,766,Low Waste Production (500-1000KG)
B1858X,4,Institutional,9,Airport,104543,21583,3126,3619,3091,4434,5187,19457,3891,Highest Waste Production (>3500KG)
B1858P,6,Storage,14,Warehouse,151784,515,1247,1480,1066,1283,1109,6185,1237,Moderate Waste Production (1000-1500KG)
B1578A,3,Educational,7,Nurseries,6071,169,538,591,553,523,538,2743,549,Low Waste Production (500-1000KG)
B1681Q,1,Commercial,2,Office,8243,794,5,1,82,47,75,210,42,Lowest Waste Production (<500KG)
B1998B,4,Institutional,11,Fire Station,9115,116,302,250,317,388,282,1539,308,Lowest Waste Production (<500KG)
B1121M,1,Commercial,2,Office,14665,322,80,27,10,4,30,151,30,Lowest Waste Production (<500KG)
B1945Y,3,Educational,7,Nurseries,6308,114,974,875,994,637,960,4440,888,Low Waste Production (500-1000KG)
B1934B,3,Educational,6,University,26744,27302,487,763,541,562,724,3077,615,Low Waste Production (500-1000KG)
B1773B,4,Institutional,11,Fire Station,10789,241,269,234,363,311,204,1381,276,Lowest Waste Production (<500KG)
B1326Q,6,Storage,14,Warehouse,162016,564,900,1273,1052,837,845,4907,981,Low Waste Production (500-1000KG)
B1869A,3,Educational,6,University,26318,22010,691,717,927,771,547,3653,731,Low Waste Production (500-1000KG)
B1546R,3,Educational,7,Nurseries,6122,223,530,778,778,872,721,3679,736,Low Waste Production (500-1000KG)
B1784P,2,Residential,4,Landed Property,2304,9,13,12,15,14,15,69,14,Lowest Waste Production (<500KG)
B1942Z,4,Institutional,9,Airport,97759,22493,5683,4243,5955,5388,3973,25242,5048,Highest Waste Production (>3500KG)
B1209U,6,Storage,15,Garage,126608,251,816,1132,955,889,1033,4825,965,Low Waste Production (500-1000KG)
B1967A,5,Industrial,13,Data Center,103272,259,565,398,553,239,257,2012,402,Lowest Waste Production (<500KG)
B1172Z,6,Storage,14,Warehouse,156402,500,1383,1275,587,577,1334,5156,1031,Moderate Waste Production (1000-1500KG)
B1619M,3,Educational,6,University,25511,29297,626,873,544,717,976,3736,747,Low Waste Production (500-1000KG)
B1605U,6,Storage,15,Garage,122544,450,1093,857,1048,1298,1250,5546,1109,Moderate Waste Production (1000-1500KG)
B1405B,6,Storage,15,Garage,125107,272,1114,1199,1010,818,1241,5382,1076,Moderate Waste Production (1000-1500KG)
B1698J,3,Educational,6,University,30273,27445,418,588,808,681,404,2899,580,Low Waste Production (500-1000KG)
B1208J,4,Institutional,11,Fire Station,10381,103,260,347,341,327,378,1653,331,Lowest Waste Production (<500KG)
B1404J,3,Educational,7,Nurseries,6398,105,671,708,785,512,744,3420,684,Low Waste Production (500-1000KG)
B1233T,5,Industrial,13,Data Center,106897,515,376,306,375,408,471,1936,387,Lowest Waste Production (<500KG)
B1262D,6,Storage,14,Warehouse,154370,576,798,798,1019,1026,589,4230,846,Low Waste Production (500-1000KG)
B1482Z,5,Industrial,13,Data Center,105303,336,248,216,386,339,518,1707,341,Lowest Waste Production (<500KG)
B1012J,3,Educational,7,Nurseries,6280,242,655,648,691,795,784,3573,715,Low Waste Production (500-1000KG)
B1446B,1,Commercial,3,Retail Non-Food,10850,840,58,29,129,55,391,662,132,Lowest Waste Production (<500KG)
B1107B,3,Educational,6,University,28901,24089,485,930,600,780,953,3748,750,Low Waste Production (500-1000KG)
B1975Y,3,Educational,6,University,34946,22819,722,488,830,566,878,3484,697,Low Waste Production (500-1000KG)
B1336J,4,Institutional,11,Fire Station,10826,169,287,295,332,336,258,1508,302,Lowest Waste Production (<500KG)
B1981Q,4,Institutional,10,Police Station,8477,175,825,1109,943,1008,880,4765,953,Low Waste Production (500-1000KG)
B1539V,6,Storage,14,Warehouse,150234,372,1047,1191,672,1410,1001,5321,1064,Moderate Waste Production (1000-1500KG)
B1437E,3,Educational,7,Nurseries,6298,247,542,571,728,881,910,3632,726,Low Waste Production (500-1000KG)
B1432M,4,Institutional,11,Fire Station,9525,148,211,245,200,238,273,1167,233,Lowest Waste Production (<500KG)
B1908S,5,Industrial,12,Manufacturing,19279,524,1116,1143,1234,1020,1207,5720,1144,Moderate Waste Production (1000-1500KG)
B1106G,3,Educational,6,University,34260,23438,979,984,933,836,705,4437,887,Low Waste Production (500-1000KG)
B1862Y,5,Industrial,12,Manufacturing,19551,251,1220,1162,1207,1060,1100,5749,1150,Moderate Waste Production (1000-1500KG)
B1830Q,3,Educational,7,Nurseries,6721,118,905,689,542,688,790,3614,723,Low Waste Production (500-1000KG)
B1637J,5,Industrial,12,Manufacturing,18965,382,1013,1158,1241,1228,1264,5904,1181,Moderate Waste Production (1000-1500KG)
B1321Y,6,Storage,15,Garage,126339,513,1095,1162,931,1189,810,5187,1037,Moderate Waste Production (1000-1500KG)
B1636T,5,Industrial,13,Data Center,109688,467,599,536,594,588,538,2855,571,Low Waste Production (500-1000KG)
B1901D,5,Industrial,13,Data Center,108690,395,488,574,441,355,237,2095,419,Lowest Waste Production (<500KG)
B1019Q,2,Residential,5,Apartment,1264,3,6,8,6,7,8,35,7,Lowest Waste Production (<500KG)
B1368R,6,Storage,15,Garage,121154,558,804,1244,1291,1165,751,5255,1051,Moderate Waste Production (1000-1500KG)
B1626C,6,Storage,15,Garage,122165,546,1276,938,1061,1112,1030,5417,1083,Moderate Waste Production (1000-1500KG)
B1198K,6,Storage,15,Garage,125039,319,932,1182,1269,1216,869,5468,1094,Moderate Waste Production (1000-1500KG)
B1123W,2,Residential,5,Apartment,1248,2,10,6,10,7,8,41,8,Lowest Waste Production (<500KG)
B1969A,1,Commercial,2,Office,8041,710,11,48,60,60,81,260,52,Lowest Waste Production (<500KG)
B1607H,6,Storage,15,Garage,122860,549,1029,1279,1031,830,1098,5267,1053,Moderate Waste Production (1000-1500KG)
B1319G,5,Industrial,12,Manufacturing,19333,378,1275,1072,1022,1137,1106,5612,1122,Moderate Waste Production (1000-1500KG)
B1108A,6,Storage,15,Garage,128524,310,832,1126,963,791,870,4582,916,Low Waste Production (500-1000KG)
B1745I,2,Residential,5,Apartment,1317,2,9,7,6,6,8,36,7,Lowest Waste Production (<500KG)
B1015Z,4,Institutional,11,Fire Station,10273,122,224,355,236,362,340,1517,303,Lowest Waste Production (<500KG)
B1685L,4,Institutional,9,Airport,98848,22419,3744,5405,5611,4316,4080,23156,4631,Highest Waste Production (>3500KG)
B1269Z,5,Industrial,12,Manufacturing,18868,547,1104,1236,1021,1031,1079,5471,1094,Moderate Waste Production (1000-1500KG)
B1745Q,2,Residential,4,Landed Property,2643,8,11,15,12,13,14,65,13,Lowest Waste Production (<500KG)
B1204W,3,Educational,6,University,30888,20311,439,565,554,937,622,3117,623,Low Waste Production (500-1000KG)
B1097C,6,Storage,14,Warehouse,157402,395,1226,1192,1430,1432,728,6008,1202,Moderate Waste Production (1000-1500KG)
B1314C,1,Commercial,1,Retail Mixed,17392,2158,621,610,1018,1019,369,3637,727,Low Waste Production (500-1000KG)
B1285D,3,Educational,6,University,30776,29593,797,987,443,884,631,3742,748,Low Waste Production (500-1000KG)
B1152Q,4,Institutional,11,Fire Station,10229,178,337,378,289,316,326,1646,329,Lowest Waste Production (<500KG)
B1081J,2,Residential,4,Landed Property,2964,6,11,14,11,14,12,62,12,Lowest Waste Production (<500KG)
B1619H,4,Institutional,11,Fire Station,10517,136,365,313,381,346,288,1693,339,Lowest Waste Production (<500KG)
B1864J,3,Educational,7,Nurseries,6365,193,770,738,524,613,704,3349,670,Low Waste Production (500-1000KG)
B1151W,4,Institutional,9,Airport,98376,20479,3311,5198,4485,4145,4639,21778,4356,Highest Waste Production (>3500KG)
B1468G,5,Industrial,13,Data Center,105092,263,387,310,592,393,483,2165,433,Lowest Waste Production (<500KG)
B1380N,5,Industrial,13,Data Center,92546,374,497,587,254,322,501,2161,432,Lowest Waste Production (<500KG)
B1021D,4,Institutional,9,Airport,95775,20743,5244,3462,4964,3003,3298,19971,3994,Highest Waste Production (>3500KG)
B1002S,4,Institutional,10,Police Station,8502,211,919,748,1041,1200,905,4813,963,Low Waste Production (500-1000KG)
B1597Z,3,Educational,6,University,33068,22740,978,447,693,661,643,3422,684,Low Waste Production (500-1000KG)
B1552Q,1,Commercial,3,Retail Non-Food,9798,1153,275,224,385,104,417,1405,281,Lowest Waste Production (<500KG)
B1258K,3,Educational,7,Nurseries,6332,109,636,678,915,679,534,3442,688,Low Waste Production (500-1000KG)
B1319W,4,Institutional,9,Airport,95579,22503,3076,4977,3764,5901,5410,23128,4626,Highest Waste Production (>3500KG)
B1792K,1,Commercial,3,Retail Non-Food,8159,1165,427,172,33,359,81,1072,214,Lowest Waste Production (<500KG)
B1095E,2,Residential,4,Landed Property,2337,9,15,10,11,11,13,60,12,Lowest Waste Production (<500KG)
B1407P,4,Institutional,10,Police Station,8248,147,856,1062,1009,1015,976,4918,984,Low Waste Production (500-1000KG)
B1440X,4,Institutional,10,Police Station,9100,100,806,958,1112,1059,1176,5111,1022,Moderate Waste Production (1000-1500KG)
B1134Q,2,Residential,4,Landed Property,2850,5,15,11,10,14,11,61,12,Lowest Waste Production (<500KG)
B1733E,3,Educational,6,University,27051,28211,940,733,442,953,753,3821,764,Low Waste Production (500-1000KG)
B1420Z,1,Commercial,1,Retail Mixed,12245,3599,1927,1201,1402,1968,1886,8384,1677,Moderately High Waste Production (1500-2000KG)
B1229N,3,Educational,7,Nurseries,6958,181,766,603,515,634,898,3416,683,Low Waste Production (500-1000KG)
B1469G,4,Institutional,9,Airport,100878,22955,5301,3419,3711,5246,5910,23587,4717,Highest Waste Production (>3500KG)
B1767I,4,Institutional,10,Police Station,9214,187,1029,773,790,896,989,4477,895,Low Waste Production (500-1000KG)
B1175C,3,Educational,8,Student residences,10465,6040,1123,1043,1041,1084,1125,5416,1083,Moderate Waste Production (1000-1500KG)
B1630B,1,Commercial,1,Retail Mixed,14050,3273,691,767,1643,584,1026,4711,942,Low Waste Production (500-1000KG)
B1997K,3,Educational,8,Student residences,10235,9016,1123,1133,1141,1055,1188,5640,1128,Moderate Waste Production (1000-1500KG)
B1933G,3,Educational,7,Nurseries,6105,121,505,565,654,565,686,2975,595,Low Waste Production (500-1000KG)
B1672N,1,Commercial,1,Retail Mixed,22798,3356,1477,1743,571,1489,1442,6722,1344,Moderate Waste Production (1000-1500KG)
B1686E,3,Educational,7,Nurseries,6843,170,697,954,673,809,918,4051,810,Low Waste Production (500-1000KG)
B1391S,1,Commercial,2,Office,4491,98,28,26,50,69,57,230,46,Lowest Waste Production (<500KG)
B1791I,3,Educational,8,Student residences,10887,8341,1072,1166,1142,1190,1066,5636,1127,Moderate Waste Production (1000-1500KG)
B1808V,1,Commercial,3,Retail Non-Food,8612,915,354,141,372,21,284,1172,234,Lowest Waste Production (<500KG)
B1997M,2,Residential,5,Apartment,1058,2,10,11,8,6,10,45,9,Lowest Waste Production (<500KG)
B1248E,6,Storage,15,Garage,124646,314,1004,1023,815,1156,964,4962,992,Low Waste Production (500-1000KG)
B1259U,4,Institutional,11,Fire Station,10353,213,309,236,229,264,345,1383,277,Lowest Waste Production (<500KG)
B1266H,3,Educational,8,Student residences,10997,9267,1069,1171,1041,1200,1015,5496,1099,Moderate Waste Production (1000-1500KG)
B1422X,4,Institutional,11,Fire Station,9037,136,268,387,280,347,226,1508,302,Lowest Waste Production (<500KG)
B1170L,5,Industrial,13,Data Center,107944,510,560,349,281,422,550,2162,432,Lowest Waste Production (<500KG)
B1159B,1,Commercial,3,Retail Non-Food,10975,1203,233,438,305,6,348,1330,266,Lowest Waste Production (<500KG)
B1591Y,3,Educational,8,Student residences,10431,6356,1145,1060,1091,1183,1027,5506,1101,Moderate Waste Production (1000-1500KG)
B1088P,4,Institutional,9,Airport,104328,20957,5966,5983,5694,3883,5420,26946,5389,Highest Waste Production (>3500KG)
B1355P,4,Institutional,9,Airport,96780,20708,4946,4151,4961,3964,4232,22254,4451,Highest Waste Production (>3500KG)
B1009Z,6,Storage,15,Garage,123606,256,1231,1200,895,1149,786,5261,1052,Moderate Waste Production (1000-1500KG)
B1513W,6,Storage,14,Warehouse,167294,568,580,590,1469,632,1201,4472,894,Low Waste Production (500-1000KG)
B1119S,4,Institutional,9,Airport,103451,22687,5263,3548,3573,5663,4025,22072,4414,Highest Waste Production (>3500KG)
B1814U,1,Commercial,2,Office,6573,645,99,81,60,28,41,309,62,Lowest Waste Production (<500KG)
B1354J,1,Commercial,1,Retail Mixed,18090,2259,2257,676,1742,2291,2159,9125,1825,Moderately High Waste Production (1500-2000KG)
B1327S,4,Institutional,9,Airport,100339,22594,3667,3203,4608,5029,5463,21970,4394,Highest Waste Production (>3500KG)
B1368P,1,Commercial,3,Retail Non-Food,11829,1207,427,243,190,258,378,1496,299,Lowest Waste Production (<500KG)
B1611Q,6,Storage,15,Garage,129455,520,1237,784,752,1074,814,4661,932,Low Waste Production (500-1000KG)
B1156J,3,Educational,7,Nurseries,6275,123,826,618,756,744,751,3695,739,Low Waste Production (500-1000KG)
B1498O,4,Institutional,10,Police Station,9126,212,1083,1139,1087,886,777,4972,994,Low Waste Production (500-1000KG)
B1567D,1,Commercial,1,Retail Mixed,22863,2441,2041,667,1850,622,989,6169,1234,Moderate Waste Production (1000-1500KG)
B1615I,4,Institutional,10,Police Station,9867,107,887,893,847,1031,962,4620,924,Low Waste Production (500-1000KG)
B1024I,5,Industrial,12,Manufacturing,19181,446,1099,1287,1278,1008,1036,5708,1142,Moderate Waste Production (1000-1500KG)
B1005X,1,Commercial,2,Office,8055,795,49,83,62,67,27,288,58,Lowest Waste Production (<500KG)
B1631M,5,Industrial,13,Data Center,103416,550,419,539,548,487,426,2419,484,Lowest Waste Production (<500KG)
B1371W,4,Institutional,10,Police Station,8830,181,1194,860,709,898,903,4564,913,Low Waste Production (500-1000KG)
B1586K,3,Educational,7,Nurseries,6992,197,809,984,519,706,676,3694,739,Low Waste Production (500-1000KG)
B1413S,3,Educational,7,Nurseries,6754,150,925,764,770,995,520,3974,795,Low Waste Production (500-1000KG)
B1708O,3,Educational,6,University,31270,28853,518,645,656,962,429,3210,642,Low Waste Production (500-1000KG)
B1472W,5,Industrial,12,Manufacturing,19695,353,1297,1162,1003,1131,1258,5851,1170,Moderate Waste Production (1000-1500KG)
B1828S,2,Residential,4,Landed Property,2159,8,14,10,13,15,11,63,13,Lowest Waste Production (<500KG)
B1259K,1,Commercial,1,Retail Mixed,13993,2030,1553,1239,2278,944,1790,7804,1561,Moderately High Waste Production (1500-2000KG)
B1679E,2,Residential,5,Apartment,1385,4,6,10,8,10,8,42,8,Lowest Waste Production (<500KG)
B1033X,4,Institutional,9,Airport,97059,20057,4831,5692,4020,5335,4600,24478,4896,Highest Waste Production (>3500KG)
B1422C,5,Industrial,13,Data Center,102035,462,486,564,467,359,456,2332,466,Lowest Waste Production (<500KG)
B1720K,3,Educational,8,Student residences,11363,6155,1052,1168,1085,1007,1077,5389,1078,Moderate Waste Production (1000-1500KG)
B1877X,6,Storage,14,Warehouse,165912,452,1395,926,1108,1273,535,5237,1047,Moderate Waste Production (1000-1500KG)
B1745Y,2,Residential,4,Landed Property,2555,7,12,12,10,10,12,56,11,Lowest Waste Production (<500KG)
B1724Z,4,Institutional,11,Fire Station,9186,159,309,297,376,272,254,1508,302,Lowest Waste Production (<500KG)
B1713Y,6,Storage,15,Garage,123962,279,1232,1214,1025,1102,781,5354,1071,Moderate Waste Production (1000-1500KG)
B1671B,3,Educational,8,Student residences,11515,8346,1047,1100,1169,1181,1158,5655,1131,Moderate Waste Production (1000-1500KG)
B1079G,3,Educational,6,University,25544,26290,710,832,503,670,561,3276,655,Low Waste Production (500-1000KG)
B1844R,4,Institutional,11,Fire Station,10288,202,274,344,225,376,370,1589,318,Lowest Waste Production (<500KG)
B1005V,4,Institutional,10,Police Station,8273,181,901,892,927,862,977,4559,912,Low Waste Production (500-1000KG)
B1648Q,5,Industrial,13,Data Center,105600,577,596,310,575,201,388,2070,414,Lowest Waste Production (<500KG)
B1203Z,3,Educational,6,University,28802,22671,666,945,897,417,840,3765,753,Low Waste Production (500-1000KG)
B1601U,3,Educational,7,Nurseries,6427,216,573,666,918,815,846,3818,764,Low Waste Production (500-1000KG)
B1291Q,3,Educational,6,University,28593,24135,874,596,792,903,924,4089,818,Low Waste Production (500-1000KG)
B1395X,4,Institutional,9,Airport,96664,22675,5812,3377,4053,5581,4727,23550,4710,Highest Waste Production (>3500KG)
B1174Q,2,Residential,4,Landed Property,2977,7,15,12,15,13,10,65,13,Lowest Waste Production (<500KG)
B1704B,6,Storage,14,Warehouse,157804,583,1036,1196,693,517,1366,4808,962,Low Waste Production (500-1000KG)
B1505O,2,Residential,5,Apartment,1099,5,11,10,11,9,9,50,10,Lowest Waste Production (<500KG)
B1646E,2,Residential,4,Landed Property,2112,5,14,11,10,10,12,57,11,Lowest Waste Production (<500KG)
B1093P,1,Commercial,2,Office,13287,569,40,42,5,2,98,187,37,Lowest Waste Production (<500KG)
B1760I,1,Commercial,2,Office,4230,239,30,7,56,53,6,152,30,Lowest Waste Production (<500KG)
B1114K,4,Institutional,11,Fire Station,10822,141,307,368,361,261,226,1523,305,Lowest Waste Production (<500KG)
B1450E,3,Educational,8,Student residences,11288,7850,1168,1098,1046,1067,1128,5507,1101,Moderate Waste Production (1000-1500KG)
B1496O,3,Educational,7,Nurseries,6558,123,812,791,960,568,583,3714,743,Low Waste Production (500-1000KG)
B1264I,3,Educational,7,Nurseries,6929,222,877,755,516,694,534,3376,675,Low Waste Production (500-1000KG)
B1498A,1,Commercial,1,Retail Mixed,15355,3650,1062,690,1922,1223,1763,6660,1332,Moderate Waste Production (1000-1500KG)
B1127P,6,Storage,15,Garage,125038,407,1131,840,986,827,1247,5031,1006,Moderate Waste Production (1000-1500KG)
B1228S,6,Storage,15,Garage,121294,472,856,873,1088,850,1270,4937,987,Low Waste Production (500-1000KG)
B1073E,1,Commercial,3,Retail Non-Food,10807,1076,256,4,225,14,52,551,110,Lowest Waste Production (<500KG)
B1311U,6,Storage,14,Warehouse,164889,565,989,561,1250,627,1259,4686,937,Low Waste Production (500-1000KG)
B1881F,6,Storage,14,Warehouse,151983,258,1232,935,892,1311,548,4918,984,Low Waste Production (500-1000KG)
B1901E,2,Residential,4,Landed Property,2776,8,15,15,11,11,10,62,12,Lowest Waste Production (<500KG)
B1077M,4,Institutional,9,Airport,101710,22354,4769,3291,3935,3631,3208,18834,3767,Highest Waste Production (>3500KG)
B1347Z,1,Commercial,2,Office,10275,284,4,50,78,31,80,243,49,Lowest Waste Production (<500KG)
B1327H,5,Industrial,12,Manufacturing,19997,328,1281,1118,1230,1111,1065,5805,1161,Moderate Waste Production (1000-1500KG)
B1524D,5,Industrial,13,Data Center,93134,305,510,316,459,534,281,2100,420,Lowest Waste Production (<500KG)
B1796O,3,Educational,6,University,34495,20440,776,859,689,833,960,4117,823,Low Waste Production (500-1000KG)
B1461L,4,Institutional,9,Airport,101515,21685,4234,3757,4083,3686,3479,19239,3848,Highest Waste Production (>3500KG)
B1629O,3,Educational,8,Student residences,10162,8603,1039,1057,1068,1048,1135,5347,1069,Moderate Waste Production (1000-1500KG)
B1238A,6,Storage,15,Garage,125685,593,1096,753,1256,1176,840,5121,1024,Moderate Waste Production (1000-1500KG)
B1651Q,1,Commercial,3,Retail Non-Food,10063,1058,281,185,334,139,403,1342,268,Lowest Waste Production (<500KG)
B1242Q,3,Educational,6,University,31438,28934,416,900,846,692,937,3791,758,Low Waste Production (500-1000KG)
B1476F,4,Institutional,10,Police Station,9837,225,833,1173,774,953,1194,4927,985,Low Waste Production (500-1000KG)
B1661F,4,Institutional,9,Airport,102825,21261,4385,3352,3940,3330,3861,18868,3774,Highest Waste Production (>3500KG)
B1830C,6,Storage,15,Garage,121462,501,827,917,1023,817,1197,4781,956,Low Waste Production (500-1000KG)
B1509T,4,Institutional,10,Police Station,9193,112,1007,702,905,1188,1031,4833,967,Low Waste Production (500-1000KG)
B1465I,4,Institutional,9,Airport,101465,22321,3025,5782,4242,4381,4329,21759,4352,Highest Waste Production (>3500KG)
B1085Q,5,Industrial,13,Data Center,98261,384,369,249,242,561,504,1925,385,Lowest Waste Production (<500KG)
B1492C,1,Commercial,3,Retail Non-Food,9376,945,37,151,122,113,339,762,152,Lowest Waste Production (<500KG)
B1105R,3,Educational,7,Nurseries,6570,235,747,594,954,968,539,3802,760,Low Waste Production (500-1000KG)
B1707E,3,Educational,7,Nurseries,6077,162,835,839,833,881,726,4114,823,Low Waste Production (500-1000KG)
B1669P,4,Institutional,9,Airport,100971,20476,3197,3284,4987,4994,3996,20458,4092,Highest Waste Production (>3500KG)
B1367K,6,Storage,15,Garage,127437,439,1026,1145,857,1109,1138,5275,1055,Moderate Waste Production (1000-1500KG)
